symbol,mode,ok,bb_width_pctile,atr_pctile,breakout_hh20,breakout_hh50
360ONE.NS,loose,True,0.18253968253968253,0.051587301587301584,False,False
3MINDIA.NS,loose,True,0.05952380952380952,0.1865079365079365,False,False
ABB.NS,loose,True,0.015873015873015872,0.03571428571428571,False,False
ACC.NS,loose,True,0.0873015873015873,0.007936507936507936,False,False
ACMESOLAR.NS,loose,True,0.1945945945945946,0.743455497382199,False,False
AIAENG.NS,loose,True,0.09523809523809523,0.003968253968253968,False,False
APLAPOLLO.NS,loose,True,0.0992063492063492,0.03968253968253968,True,False
AUBANK.NS,loose,True,0.42063492063492064,0.13095238095238096,False,False
AWL.NS,loose,True,0.1626984126984127,0.10714285714285714,False,False
AADHARHFC.NS,loose,True,0.08333333333333333,0.18253968253968253,False,False
AARTIIND.NS,loose,True,0.047619047619047616,0.015873015873015872,False,False
AAVAS.NS,loose,False,0.753968253968254,0.3531746031746032,False,False
ABBOTINDIA.NS,loose,False,0.40476190476190477,0.6071428571428571,False,False
ACE.NS,loose,True,0.7222222222222222,0.23809523809523808,False,False
ADANIENSOL.NS,loose,True,0.31746031746031744,0.003968253968253968,False,False
ADANIENT.NS,loose,True,0.14285714285714285,0.03571428571428571,False,False
ADANIGREEN.NS,loose,True,0.023809523809523808,0.003968253968253968,False,False
ADANIPORTS.NS,loose,True,0.07142857142857142,0.027777777777777776,False,False
ADANIPOWER.NS,loose,True,0.0873015873015873,0.08333333333333333,True,True
ATGL.NS,loose,True,0.27380952380952384,0.031746031746031744,False,False
ABCAPITAL.NS,loose,True,0.13095238095238096,0.6349206349206349,False,False
ABFRL.NS,loose,True,0.8650793650793651,0.25,True,True
ABREL.NS,loose,True,0.003968253968253968,0.003968253968253968,False,False
ABSLAMC.NS,loose,True,0.28174603174603174,0.04365079365079365,False,False
AEGISLOG.NS,loose,True,0.19047619047619047,0.13095238095238096,False,False
AFCONS.NS,loose,True,0.020833333333333332,0.1111111111111111,False,False
AFFLE.NS,loose,True,0.05555555555555555,0.003968253968253968,False,False
AJANTPHARM.NS,loose,True,0.49206349206349204,0.01984126984126984,False,False
AKUMS.NS,loose,True,0.04,0.01984126984126984,False,False
APLLTD.NS,loose,True,0.03968253968253968,0.003968253968253968,False,False
