buf,trail,atrp,cagr,maxdd
0.25,1.2,0.08,0.63,-0.81
0.25,1.2,0.1,0.63,-0.81
0.25,1.2,0.12,0.63,-0.81
0.25,1.4,0.08,0.78,-0.89
0.25,1.4,0.1,0.78,-0.89
0.25,1.4,0.12,0.78,-0.89
0.25,1.6,0.08,0.73,-0.90
0.25,1.6,0.1,0.73,-0.90
0.25,1.6,0.12,0.73,-0.90
0.3,1.2,0.08,0.48,-0.95
0.3,1.2,0.1,0.48,-0.95
0.3,1.2,0.12,0.48,-0.95
0.3,1.4,0.08,0.64,-1.03
0.3,1.4,0.1,0.64,-1.03
0.3,1.4,0.12,0.64,-1.03
0.3,1.6,0.08,0.60,-1.04
0.3,1.6,0.1,0.60,-1.04
0.3,1.6,0.12,0.60,-1.04
0.35,1.2,0.08,0.44,-1.05
0.35,1.2,0.1,0.44,-1.05
0.35,1.2,0.12,0.44,-1.05
0.35,1.4,0.08,0.63,-1.04
0.35,1.4,0.1,0.63,-1.04
0.35,1.4,0.12,0.63,-1.04
0.35,1.6,0.08,0.59,-1.05
0.35,1.6,0.1,0.59,-1.05
0.35,1.6,0.12,0.59,-1.05
